 COLUMNS                           , SYSTEM VIEW     , 
 SP_ADTEST                         , PROCEDURE       , 
 SP_ANCOVA                         , PROCEDURE       , 
 SP_BPTEST                         , PROCEDURE       , 
 SP_COLUMNTYPE                     , PROCEDURE       , 
 SP_COXPH                          , PROCEDURE       , 
 SP_COXPHPOSTPROC                  , PROCEDURE       , 
 SP_COXPHPREPROC                   , PROCEDURE       , 
 SP_DECISIONTREE                   , PROCEDURE       , 
 SP_DECISIONTREEPOSTPROC           , PROCEDURE       , 
 SP_DECISIONTREEPREPROC            , PROCEDURE       , 
 SP_DECISIONTREESCORE              , PROCEDURE       , 
 SP_DEEPTOWIDE                     , PROCEDURE       , 
 SP_GETFZZLPARAM                   , PROCEDURE       , 
 SP_GLM                            , PROCEDURE       , 
 SP_GLMPOSTPROC                    , PROCEDURE       , 
 SP_GLMPREPROC                     , PROCEDURE       , 
 SP_HKMEANS                        , PROCEDURE       , 
 SP_HKMEANSPOSTPROC                , PROCEDURE       , 
 SP_HKMEANSPREPROC                 , PROCEDURE       , 
 SP_I_COXPH                        , PROCEDURE       , 
 SP_I_DECISIONTREE                 , PROCEDURE       , 
 SP_I_GLM                          , PROCEDURE       , 
 SP_I_KSTEST1S                     , PROCEDURE       , 
 SP_I_LINREGR                      , PROCEDURE       , 
 SP_I_LINREGR                      , PROCEDURE       , 
 SP_I_LINREGRBW                    , PROCEDURE       , 
 SP_I_LINREGRFB                    , PROCEDURE       , 
 SP_I_LINREGRMULTIDATASET          , PROCEDURE       , 
 SP_I_LINREGRONEVAR                , PROCEDURE       , 
 SP_I_LINREGRSW                    , PROCEDURE       , 
 SP_I_LINREGRSWEFF                 , PROCEDURE       , 
 SP_I_LINREGRSWSF                  , PROCEDURE       , 
 SP_I_LINREGRWT                    , PROCEDURE       , 
 SP_I_LOGREGR                      , PROCEDURE       , 
 SP_I_LOGREGR                      , PROCEDURE       , 
 SP_I_LOGREGRBW                    , PROCEDURE       , 
 SP_I_LOGREGRBWGENERIC             , PROCEDURE       , 
 SP_I_LOGREGRFB                    , PROCEDURE       , 
 SP_I_LOGREGRFB                    , PROCEDURE       , 
 SP_I_LOGREGRMN                    , PROCEDURE       , 
 SP_I_LOGREGRMNBW                  , PROCEDURE       , 
 SP_I_LOGREGRMNFB                  , PROCEDURE       , 
 SP_I_LOGREGRMNMULTIDATASET        , PROCEDURE       , 
 SP_I_LOGREGRMULTIDATASET          , PROCEDURE       , 
 SP_I_LOGREGRONEVAR                , PROCEDURE       , 
 SP_I_LOGREGRRAND                  , PROCEDURE       , 
 SP_I_LOGREGRSF                    , PROCEDURE       , 
 SP_I_LOGREGRSF                    , PROCEDURE       , 
 SP_I_LOGREGRSW                    , PROCEDURE       , 
 SP_I_LOGREGRSWEFF                 , PROCEDURE       , 
 SP_I_LOGREGRSWSF                  , PROCEDURE       , 
 SP_I_LOGREGRWT                    , PROCEDURE       , 
 SP_I_NEURALNETSCORE               , PROCEDURE       , 
 SP_I_VIF                          , PROCEDURE       , 
 SP_I_VIF                          , PROCEDURE       , 
 SP_I_VIFBW                        , PROCEDURE       , 
 SP_I_VIFBWMS                      , PROCEDURE       , 
 SP_I_VIFMULTIDATASET              , PROCEDURE       , 
 SP_KAPLANMEIER                    , PROCEDURE       , 
 SP_KAPLANMEIERHYPOTEST            , PROCEDURE       , 
 SP_KAPLANMEIERHYPOTESTPOSTPROC    , PROCEDURE       , 
 SP_KAPLANMEIERHYPOTESTPREPROC     , PROCEDURE       , 
 SP_KAPLANMEIERPOSTPROC            , PROCEDURE       , 
 SP_KAPLANMEIERPREPROC             , PROCEDURE       , 
 SP_KMEANS                         , PROCEDURE       , 
 SP_KMEANSPOSTPROC                 , PROCEDURE       , 
 SP_KMEANSPREPROC                  , PROCEDURE       , 
 SP_KSTEST                         , PROCEDURE       , 
 SP_KSTEST1S                       , PROCEDURE       , 
 SP_LINREGR                        , PROCEDURE       , 
 SP_LINREGR                        , PROCEDURE       , 
 SP_LINREGRBW                      , PROCEDURE       , 
 SP_LINREGRFB                      , PROCEDURE       , 
 SP_LINREGRMULTI                   , PROCEDURE       , 
 SP_LINREGRMULTIDATASET            , PROCEDURE       , 
 SP_LINREGRMULTIVAR                , PROCEDURE       , 
 SP_LINREGRMULTIVAR                , PROCEDURE       , 
 SP_LINREGRMULTIVARBW              , PROCEDURE       , 
 SP_LINREGRMULTIVARFB              , PROCEDURE       , 
 SP_LINREGRONEVAR                  , PROCEDURE       , 
 SP_LINREGRPOSTPROC                , PROCEDURE       , 
 SP_LINREGRPREPROC                 , PROCEDURE       , 
 SP_LINREGRPREPROCMS               , PROCEDURE       , 
 SP_LINREGRSF                      , PROCEDURE       , 
 SP_LINREGRSF                      , PROCEDURE       , 
 SP_LINREGRSW                      , PROCEDURE       , 
 SP_LINREGRSWEFF                   , PROCEDURE       , 
 SP_LINREGRWT                      , PROCEDURE       , 
 SP_LOGREGR                        , PROCEDURE       , 
 SP_LOGREGR                        , PROCEDURE       , 
 SP_LOGREGRBW                      , PROCEDURE       , 
 SP_LOGREGRBWGEN                   , PROCEDURE       , 
 SP_LOGREGRFB                      , PROCEDURE       , 
 SP_LOGREGRFB                      , PROCEDURE       , 
 SP_LOGREGRFBGEN                   , PROCEDURE       , 
 SP_LOGREGRFBGEN                   , PROCEDURE       , 
 SP_LOGREGRMN                      , PROCEDURE       , 
 SP_LOGREGRMNBW                    , PROCEDURE       , 
 SP_LOGREGRMNFB                    , PROCEDURE       , 
 SP_LOGREGRMNMULTIDATASET          , PROCEDURE       , 
 SP_LOGREGRMNMULTIDATASETPOSTPROC  , PROCEDURE       , 
 SP_LOGREGRMNMULTIDATASETPREPROC   , PROCEDURE       , 
 SP_LOGREGRMNMULTIVARBW            , PROCEDURE       , 
 SP_LOGREGRMNMULTIVARFB            , PROCEDURE       , 
 SP_LOGREGRMNPOSTPROC              , PROCEDURE       , 
 SP_LOGREGRMNPREPROC               , PROCEDURE       , 
 SP_LOGREGRMNUFB                   , PROCEDURE       , 
 SP_LOGREGRMULTI                   , PROCEDURE       , 
 SP_LOGREGRMULTI                   , PROCEDURE       , 
 SP_LOGREGRMULTIDATASET            , PROCEDURE       , 
 SP_LOGREGRMULTIVAR                , PROCEDURE       , 
 SP_LOGREGRMULTIVARBW              , PROCEDURE       , 
 SP_LOGREGRMULTIVARBW              , PROCEDURE       , 
 SP_LOGREGRMULTIVARFB              , PROCEDURE       , 
 SP_LOGREGRMULTIVARSW              , PROCEDURE       , 
 SP_LOGREGRONEVAR                  , PROCEDURE       , 
 SP_LOGREGRPOSTPROC                , PROCEDURE       , 
 SP_LOGREGRPREPROC                 , PROCEDURE       , 
 SP_LOGREGRRAND                    , PROCEDURE       , 
 SP_LOGREGRSF                      , PROCEDURE       , 
 SP_LOGREGRSF                      , PROCEDURE       , 
 SP_LOGREGRSW                      , PROCEDURE       , 
 SP_LOGREGRSWEFF                   , PROCEDURE       , 
 SP_LOGREGRWT                      , PROCEDURE       , 
 SP_MATRIXINV                      , PROCEDURE       , 
 SP_NAIVEBAYESMODEL                , PROCEDURE       , 
 SP_NAIVEBAYESPREDICT              , PROCEDURE       , 
 SP_NBBO                           , PROCEDURE       , 
 SP_NBBOPOSTPROC                   , PROCEDURE       , 
 SP_NBBOPREPROC                    , PROCEDURE       , 
 SP_NEURALNETSCORE                 , PROCEDURE       , 
 SP_NEURALNETSCOREPOSTPROC         , PROCEDURE       , 
 SP_NEURALNETSCOREPREPROC          , PROCEDURE       , 
 SP_PCA                            , PROCEDURE       , 
 SP_PERC                           , PROCEDURE       , 
 SP_PERC                           , PROCEDURE       , 
 SP_PERC_GENERIC                   , PROCEDURE       , 
 SP_POISSONREGR                    , PROCEDURE       , 
 SP_POISSONREGRPOSTPROC            , PROCEDURE       , 
 SP_POISSONREGRPREPROC             , PROCEDURE       , 
 SP_REGRDATAPREP                   , PROCEDURE       , 
 SP_REGRDATAPREPCLEAN              , PROCEDURE       , 
 SP_REGRDATAPREPLOG                , PROCEDURE       , 
 SP_RREF                           , PROCEDURE       , 
 SP_RREFPOSTPROC                   , PROCEDURE       , 
 SP_RREFPREPROC                    , PROCEDURE       , 
 SP_SHUFFLECORREL                  , PROCEDURE       , 
 SP_SURVEYSELECTSTRATEXACT         , PROCEDURE       , 
 SP_SURVEYSELECTSTRATPERC          , PROCEDURE       , 
 SP_TABLEEXISTS                    , PROCEDURE       , 
 SP_VARCLUSTER                     , PROCEDURE       , 
 SP_VIF                            , PROCEDURE       , 
 SP_VIF                            , PROCEDURE       , 
 SP_VIFBW                          , PROCEDURE       , 
 SP_VIFBWMS                        , PROCEDURE       , 
 SP_VIFMULTIDATASET                , PROCEDURE       , 
 SP_VIFPOSTPROC                    , PROCEDURE       , 
 SP_VIFPREPROC                     , PROCEDURE       , 
 SP_WIDETODEEP                     , PROCEDURE       , 
 SP_WIDETODEEPCH                   , PROCEDURE       , 
 SYSTEM                            , DATABASE        , system database
 TABLES                            , SYSTEM VIEW     , 
 TABLE_CONSTRAINTS                 , SYSTEM VIEW     , 
 TBLABALONEDTW                     , TABLE           , 
 TBLABALONEWIDE                    , TABLE           , 
 TBLABALONEWTD                     , TABLE           , 
 TBLACTG320                        , TABLE           , 
 TBLADTEST                         , TABLE           , 
 TBLANCOVATEST                     , TABLE           , 
 TBLANOVA2WAY                      , TABLE           , 
 TBLARIMA                          , TABLE           , 
 TBLAUTOMPG                        , TABLE           , 
 TBLAUTOMPGDEEPDEMO                , TABLE           , 
 TBLAUTOMPGMAP                     , TABLE           , 
 TBLAUTOMPGMAPMULTI                , TABLE           , 
 TBLAUTOMPGMD                      , TABLE           , 
 TBLAUTOMPGWIDETEST                , TABLE           , 
 TBLBAC                            , TABLE           , 
 TBLBAC_RETURN                     , TABLE           , 
 TBLBOOSTDT                        , TABLE           , 
 TBLBOOSTDTTEST                    , TABLE           , 
 TBLBSPLINEFNTEST                  , TABLE           , 
 TBLCENSUSINCOME                   , TABLE           , 
 TBLCHISQ                          , TABLE           , 
 TBLCHOLESKY                       , TABLE           , 
 TBLCOCHRANQ                       , TABLE           , 
 TBLCONFUSIONMATRIX                , TABLE           , 
 TBLCOUNTRYGDP2010                 , TABLE           , 
 TBLCOUNTRYGDP2010DEEP             , TABLE           , 
 TBLCOURSES                        , TABLE           , 
 TBLCOXPH                          , TABLE           , 
 TBLCROSSTAB                       , TABLE           , 
 TBLCROSTONS                       , TABLE           , 
 TBLCUBICSPLINE                    , TABLE           , 
 TBLCUSTDATA                       , TABLE           , 
 TBLDBQLOGTBL                      , TABLE           , 
 TBLDECISIONTREEMULTI              , TABLE           , 
 TBLDECISIONTREEMULTI_VW           , VIEW            , 
 TBLDEEP                           , TABLE           , 
 TBLDISTCORREL                     , TABLE           , 
 TBLDISTPARAMS                     , TABLE           , 
 TBLDRUGWIDE                       , TABLE           , 
 TBLDTDATA                         , TABLE           , 
 TBLDTDATASCORE                    , TABLE           , 
 TBLDTTEST                         , TABLE           , 
 TBLEFFFRONTRETURNS                , TABLE           , 
 TBLEFFFRONTVARCOVAR               , TABLE           , 
 TBLENERGYHKMEANS                  , TABLE           , 
 TBLEQBTTESTSECURITIES             , TABLE           , 
 TBLEQUITYSECURITIES               , TABLE           , 
 TBLEQUITYVARSCENARIOS             , TABLE           , 
 TBLFIELDMAP                       , TABLE           , 
 TBLFRIEDMANTEST                   , TABLE           , 
 TBLFXOPTIONSDATA                  , TABLE           , 
 TBLFXTESTSCENARIOS                , TABLE           , 
 TBLFXTESTSECURITIES               , TABLE           , 
 TBLGAMSIMDATA                     , TABLE           , 
 TBLGDP                            , TABLE           , 
 TBLGDPINFLATION                   , TABLE           , 
 TBLGRADEFREQ                      , TABLE           , 
 TBLHARDWARE                       , TABLE           , 
 TBLHOMESURVEYSPARSE               , TABLE           , 
 TBLHW1FSCHEDULE                   , TABLE           , 
 TBLHW1FZERORATES                  , TABLE           , 
 TBLHYPOTEST                       , TABLE           , 
 TBLINFOVAL                        , TABLE           , 
 TBLINTRATECURVES                  , TABLE           , 
 TBLINVGAMMA                       , TABLE           , 
 TBLIRISDEEP                       , TABLE           , 
 TBLIRRPERF                        , TABLE           , 
 TBLIRRPERF2                       , TABLE           , 
 TBLIRTESTSCENARIOS                , TABLE           , 
 TBLIRTESTSECURITIES               , TABLE           , 
 TBLKMEANSDATA                     , TABLE           , 
 TBLKMEDOIDSVALIDATE               , TABLE           , 
 TBLKRUSKALWALLIS                  , TABLE           , 
 TBLKSTEST                         , TABLE           , 
 TBLKUIPERTEST                     , TABLE           , 
 TBLLDA                            , TABLE           , 
 TBLLINREGR                        , TABLE           , 
 TBLLINREGRDATADEEP                , TABLE           , 
 TBLLINREGRDEEPGS                  , TABLE           , 
 TBLLMMTEST                        , TABLE           , 
 TBLLOANDATA                       , TABLE           , 
 TBLLOGREGR                        , TABLE           , 
 TBLLOGREGRDATA                    , TABLE           , 
 TBLLOGREGRMN10000                 , TABLE           , 
 TBLLOGREGRMULTI                   , TABLE           , 
 TBLLSMEANS                        , TABLE           , 
 TBLLSMEANSDEEP                    , TABLE           , 
 TBLMAHADISTDATA                   , TABLE           , 
 TBLMAJOR                          , TABLE           , 
 TBLMATCHIT                        , TABLE           , 
 TBLMATCHIT2                       , TABLE           , 
 TBLMATCHITALT                     , TABLE           , 
 TBLMATRIXMULTI                    , TABLE           , 
 TBLMATRIXRESULT                   , TABLE           , 
 TBLMCNEMARMULTI                   , TABLE           , 
 TBLMDA                            , TABLE           , 
 TBLMIXEDMODEL                     , TABLE           , 
 TBLMIXEDMODELINT                  , TABLE           , 
 TBLMLETEST1                       , TABLE           , 
 TBLMLETEST2                       , TABLE           , 
 TBLNBDATA                         , TABLE           , 
 TBLNELSONSIEGEL                   , TABLE           , 
 TBLNNETREGR                       , TABLE           , 
 TBLNSBETAVALIDATE                 , TABLE           , 
 TBLNSPREDICTVALIDATE              , TABLE           , 
 TBLPEARSONCHISQ                   , TABLE           , 
 TBLPLSDEEP2Y                      , TABLE           , 
 TBLPOISSONDEEP                    , TABLE           , 
 TBLPOISSONREGRWIDEUCLA            , TABLE           , 
 TBLPOPULATION                     , TABLE           , 
 TBLPRODUCTUSAGE                   , TABLE           , 
 TBLPROTEINCONSUMP                 , TABLE           , 
 TBLQRYLOG                         , TABLE           , 
 TBLRAKINGDEMO                     , TABLE           , 
 TBLRAKINGDEMO_POP                 , TABLE           , 
 TBLREGEXPPATTERNS                 , TABLE           , 
 TBLREGIMESHIFT                    , TABLE           , 
 TBLRFRATES                        , TABLE           , 
 TBLROBUSTREGR                     , TABLE           , 
 TBLROBUSTREGR100X                 , TABLE           , 
 TBLROCCURVE                       , TABLE           , 
 TBLSENSEX                         , TABLE           , 
 TBLSIMCORR                        , TABLE           , 
 TBLSIMDISTR                       , TABLE           , 
 TBLSIMDISTRPARAMS                 , TABLE           , 
 TBLSIMUNCORR                      , TABLE           , 
 TBLSTRATUMSIZE                    , TABLE           , 
 TBLSTRING                         , TABLE           , 
 TBLSTRINGPATTERNS                 , TABLE           , 
 TBLSTTEST                         , TABLE           , 
 TBLSTUDENTCROSSREF                , TABLE           , 
 TBLSVMDENSE                       , TABLE           , 
 TBLSVMDENSETESTDEEP               , TABLE           , 
 TBLSVMDENSETRAINDEEP              , TABLE           , 
 TBLSVMLINSEPARABLEDEEP            , TABLE           , 
 TBLSVMLINSEPMULTIDIM              , TABLE           , 
 TBLSVMLINSEPMULTIDIMTESTDEEP      , TABLE           , 
 TBLSVMLINSEPMULTIDIMTRAINDEEP     , TABLE           , 
 TBLSVMNONLINEARDENSE              , TABLE           , 
 TBLSVMNONLINEARSEPARATED          , TABLE           , 
 TBLTESTDATA                       , TABLE           , 
 TBLTESTDATE                       , TABLE           , 
 TBLTIMESERIESTEST                 , TABLE           , 
 TBLTIMESERIESW1                   , TABLE           , 
 TBLTIMESERIESW2                   , TABLE           , 
 TBLTIMESERIESW3                   , TABLE           , 
 TBLTIMESERIESW4                   , TABLE           , 
 TBLTIMESERIESW5                   , TABLE           , 
 TBLTIMESERIESW6                   , TABLE           , 
 TBLTIMESERIESW7                   , TABLE           , 
 TBLTSERIES_HLTWNTR                , TABLE           , 
 TBLUSAGECODE                      , TABLE           , 
 TBLUSARRESTS                      , TABLE           , 
 TBLVARPORTFOLIOINFO_NUM           , TABLE           , 
 TBLVARPORTFOLIOINFO_STR           , TABLE           , 
 TBLVARRISKFACTORMAPPING           , TABLE           , 
 TBLVARSCENARIODATA                , TABLE           , 
 TBLWACC                           , TABLE           , 
 TBLWEIBULLDISTCORREL              , TABLE           , 
 TBLWEIBULLDISTPARAMS              , TABLE           , 
 TBLWHAS100                        , TABLE           , 
 TBLWINE                           , TABLE           , 
 TBLWINEORIGINWIDE                 , TABLE           , 
 TBLWSRTEST                        , TABLE           , 
 TBLWW1SMULTI                      , TABLE           , 
 TBLWW2SMULTI                      , TABLE           , 
 TBLXMLTEST                        , TABLE           , 
 TBLYIELD                          , TABLE           , 
 TBLZTEST                          , TABLE           , 
 TEMPLINREGRVW                     , TABLE           , 
 TEST_TABLE                        , TABLE           , 
 TWM_ACCOUNTS                      , TABLE           , 
 TWM_CUSTOMER_ANALYSIS             , TABLE           , 
 VIEWS                             , SYSTEM VIEW     , 
 VIEW_STUDENTST_1000               , VIEW            , 
 VWWHAS100                         , VIEW            , 
 VW_LINREGRSWDEMO                  , VIEW            , 
 VW_LOGREGRBWDEMO                  , TABLE           , 
 VW_LOGREGRSWDEMO                  , VIEW            , 
 _V_AGGREGATE                      , SYSTEM VIEW     , 
 _V_AUTHENTICATION                 , SYSTEM VIEW     , 
 _V_AUTHENTICATION_SETTINGS        , SYSTEM VIEW     , 
 _V_BACKUP_HISTORY                 , SYSTEM VIEW     , 
 _V_BNR_CONNECTOR                  , SYSTEM VIEW     , 
 _V_CLIENT_COMPATIBILITY           , SYSTEM VIEW     , 
 _V_CPU                            , SYSTEM VIEW     , 
 _V_CRYPTO_KEY                     , SYSTEM VIEW     , 
 _V_CRYPTO_KEYSTORE                , SYSTEM VIEW     , 
 _V_CRYPTO_KEYSTORE_VERBOSE        , SYSTEM VIEW     , 
 _V_DATABASE                       , SYSTEM VIEW     , 
 _V_DATATYPE                       , SYSTEM VIEW     , 
 _V_DELIM                          , SYSTEM VIEW     , 
 _V_DEPEND                         , SYSTEM VIEW     , 
 _V_DFPGAERR                       , MANAGEMENT VIEW , 
 _V_DFPGAERR_XS                    , SYSTEM VIEW     , 
 _V_DISK                           , SYSTEM VIEW     , 
 _V_DISKENCLOSURE                  , SYSTEM VIEW     , 
 _V_DOTNET_CATALOGS1               , SYSTEM VIEW     , 
 _V_DOTNET_CATALOGS2               , SYSTEM VIEW     , 
 _V_DOTNET_CATALOGS3               , SYSTEM VIEW     , 
 _V_DOTNET_COLUMNS1                , SYSTEM VIEW     , 
 _V_DOTNET_COLUMNS2                , SYSTEM VIEW     , 
 _V_DOTNET_COLUMNS3                , SYSTEM VIEW     , 
 _V_DOTNET_DATATYPES1              , SYSTEM VIEW     , 
 _V_DOTNET_DATATYPES2              , SYSTEM VIEW     , 
 _V_DOTNET_DATATYPES3              , SYSTEM VIEW     , 
 _V_DOTNET_FEATURE                 , SYSTEM VIEW     , 
 _V_DOTNET_PKFK1                   , SYSTEM VIEW     , 
 _V_DOTNET_PKFK2                   , SYSTEM VIEW     , 
 _V_DOTNET_PKFK3                   , SYSTEM VIEW     , 
 _V_DOTNET_PRIMARYKEYS1            , SYSTEM VIEW     , 
 _V_DOTNET_PRIMARYKEYS2            , SYSTEM VIEW     , 
 _V_DOTNET_PRIMARYKEYS3            , SYSTEM VIEW     , 
 _V_DOTNET_PROCEDURES1             , SYSTEM VIEW     , 
 _V_DOTNET_PROCEDURES2             , SYSTEM VIEW     , 
 _V_DOTNET_PROCEDURES3             , SYSTEM VIEW     , 
 _V_DOTNET_PROCEDURE_COLUMNS1      , SYSTEM VIEW     , 
 _V_DOTNET_PROCEDURE_COLUMNS2      , SYSTEM VIEW     , 
 _V_DOTNET_PROCEDURE_COLUMNS3      , SYSTEM VIEW     , 
 _V_DOTNET_PROCEDURE_PARAMETERS1   , SYSTEM VIEW     , 
 _V_DOTNET_PROCEDURE_PARAMETERS2   , SYSTEM VIEW     , 
 _V_DOTNET_PROCEDURE_PARAMETERS3   , SYSTEM VIEW     , 
 _V_DOTNET_SCHEMAS1                , SYSTEM VIEW     , 
 _V_DOTNET_SCHEMAS2                , SYSTEM VIEW     , 
 _V_DOTNET_SCHEMAS3                , SYSTEM VIEW     , 
 _V_DOTNET_TABLES1                 , SYSTEM VIEW     , 
 _V_DOTNET_TABLES2                 , SYSTEM VIEW     , 
 _V_DOTNET_TABLES3                 , SYSTEM VIEW     , 
 _V_DOTNET_TABLETYPES1             , SYSTEM VIEW     , 
 _V_DOTNET_TYPES1                  , SYSTEM VIEW     , 
 _V_DOTNET_USERS                   , SYSTEM VIEW     , 
 _V_DOTNET_VIEWS1                  , SYSTEM VIEW     , 
 _V_DOTNET_VIEWS2                  , SYSTEM VIEW     , 
 _V_DOTNET_VIEWS3                  , SYSTEM VIEW     , 
 _V_DSLICE                         , MANAGEMENT VIEW , 
 _V_DUAL                           , SYSTEM VIEW     , 
 _V_DUAL_DSLICE                    , SYSTEM VIEW     , 
 _V_ECCERR                         , MANAGEMENT VIEW , 
 _V_ENVIRON                        , SYSTEM VIEW     , 
 _V_EVRULE                         , MANAGEMENT VIEW , 
 _V_EXTERNAL                       , SYSTEM VIEW     , 
 _V_EXTOBJECT                      , SYSTEM VIEW     , 
 _V_EXTZONES                       , SYSTEM VIEW     , 
 _V_FAN                            , SYSTEM VIEW     , 
 _V_FPGA                           , SYSTEM VIEW     , 
 _V_FUNCTION                       , SYSTEM VIEW     , 
 _V_GROUP                          , SYSTEM VIEW     , 
 _V_GROUPUSERS                     , SYSTEM VIEW     , 
 _V_GROUP_PRIV                     , SYSTEM VIEW     , 
 _V_HIST_CONFIG                    , SYSTEM VIEW     , 
 _V_HOST_DBOS_CONNECTION           , MANAGEMENT VIEW , 
 _V_HOST_TX                        , MANAGEMENT VIEW , 
 _V_HOST_TXMGR                     , MANAGEMENT VIEW , 
 _V_HOST_TX_INVISIBLE              , MANAGEMENT VIEW , 
 _V_HOST_VERSION                   , SYSTEM VIEW     , 
 _V_HWCOMP                         , SYSTEM VIEW     , 
 _V_HWROLETEXT                     , SYSTEM VIEW     , 
 _V_HWSTATETEXT                    , SYSTEM VIEW     , 
 _V_HWTYPETEXT                     , SYSTEM VIEW     , 
 _V_INDEX                          , SYSTEM VIEW     , 
 _V_JDBC_BESTROWIDENTIFIER1        , SYSTEM VIEW     , 
 _V_JDBC_BESTROWIDENTIFIER2        , SYSTEM VIEW     , 
 _V_JDBC_BESTROWIDENTIFIER3        , SYSTEM VIEW     , 
 _V_JDBC_CATALOG1                  , SYSTEM VIEW     , 
 _V_JDBC_CATALOG2                  , SYSTEM VIEW     , 
 _V_JDBC_CATALOG3                  , SYSTEM VIEW     , 
 _V_JDBC_COLUMNS1                  , SYSTEM VIEW     , 
 _V_JDBC_COLUMNS2                  , SYSTEM VIEW     , 
 _V_JDBC_COLUMNS3                  , SYSTEM VIEW     , 
 _V_JDBC_DATATYPES1                , SYSTEM VIEW     , 
 _V_JDBC_DATATYPES2                , SYSTEM VIEW     , 
 _V_JDBC_DATATYPES3                , SYSTEM VIEW     , 
 _V_JDBC_FEATURE                   , SYSTEM VIEW     , 
 _V_JDBC_FUNCTION1                 , SYSTEM VIEW     , 
 _V_JDBC_FUNCTION2                 , SYSTEM VIEW     , 
 _V_JDBC_FUNCTION3                 , SYSTEM VIEW     , 
 _V_JDBC_FUNCTION_COLUMNS1         , SYSTEM VIEW     , 
 _V_JDBC_FUNCTION_COLUMNS2         , SYSTEM VIEW     , 
 _V_JDBC_FUNCTION_COLUMNS3         , SYSTEM VIEW     , 
 _V_JDBC_INDEXINFO1                , SYSTEM VIEW     , 
 _V_JDBC_INDEXINFO2                , SYSTEM VIEW     , 
 _V_JDBC_INDEXINFO3                , SYSTEM VIEW     , 
 _V_JDBC_PKFK1                     , SYSTEM VIEW     , 
 _V_JDBC_PKFK2                     , SYSTEM VIEW     , 
 _V_JDBC_PKFK3                     , SYSTEM VIEW     , 
 _V_JDBC_PRIMARYKEYS1              , SYSTEM VIEW     , 
 _V_JDBC_PRIMARYKEYS2              , SYSTEM VIEW     , 
 _V_JDBC_PRIMARYKEYS3              , SYSTEM VIEW     , 
 _V_JDBC_PROCEDURES1               , SYSTEM VIEW     , 
 _V_JDBC_PROCEDURES2               , SYSTEM VIEW     , 
 _V_JDBC_PROCEDURES3               , SYSTEM VIEW     , 
 _V_JDBC_PROCEDURE_COLUMNS1        , SYSTEM VIEW     , 
 _V_JDBC_PROCEDURE_COLUMNS2        , SYSTEM VIEW     , 
 _V_JDBC_PROCEDURE_COLUMNS3        , SYSTEM VIEW     , 
 _V_JDBC_SCHEMA1                   , SYSTEM VIEW     , 
 _V_JDBC_SCHEMA2                   , SYSTEM VIEW     , 
 _V_JDBC_SCHEMA3                   , SYSTEM VIEW     , 
 _V_JDBC_TABLES1                   , SYSTEM VIEW     , 
 _V_JDBC_TABLES2                   , SYSTEM VIEW     , 
 _V_JDBC_TABLES3                   , SYSTEM VIEW     , 
 _V_JDBC_TABLETYPES1               , SYSTEM VIEW     , 
 _V_JDBC_TABLETYPES2               , SYSTEM VIEW     , 
 _V_JDBC_TABLETYPES3               , SYSTEM VIEW     , 
 _V_JDBC_TYPEINFO1                 , SYSTEM VIEW     , 
 _V_JDBC_TYPEINFO2                 , SYSTEM VIEW     , 
 _V_JDBC_TYPEINFO3                 , SYSTEM VIEW     , 
 _V_LIBRARY                        , SYSTEM VIEW     , 
 _V_LOAD_STATUS                    , SYSTEM VIEW     , 
 _V_LUN                            , SYSTEM VIEW     , 
 _V_MATTHRESHOLD                   , SYSTEM VIEW     , 
 _V_MD_REGEN_ERRORS                , MANAGEMENT VIEW , 
 _V_MVIEW_REFR_STAT                , MANAGEMENT VIEW , 
 _V_OBJECTS                        , SYSTEM VIEW     , 
 _V_OBJECT_DATA                    , SYSTEM VIEW     , 
 _V_OBJS_OWNED                     , SYSTEM VIEW     , 
 _V_OBJ_RELATION                   , SYSTEM VIEW     , 
 _V_OBJ_RELATION_XDB               , SYSTEM VIEW     , 
 _V_ODBC_CATALOG1                  , SYSTEM VIEW     , 
 _V_ODBC_CATALOG2                  , SYSTEM VIEW     , 
 _V_ODBC_CATALOG3                  , SYSTEM VIEW     , 
 _V_ODBC_COLUMNS1                  , SYSTEM VIEW     , 
 _V_ODBC_COLUMNS2                  , SYSTEM VIEW     , 
 _V_ODBC_COLUMNS3                  , SYSTEM VIEW     , 
 _V_ODBC_FEATURE                   , SYSTEM VIEW     , 
 _V_ODBC_FOREIGNKEYS1              , SYSTEM VIEW     , 
 _V_ODBC_FOREIGNKEYS2              , SYSTEM VIEW     , 
 _V_ODBC_FOREIGNKEYS3              , SYSTEM VIEW     , 
 _V_ODBC_GETTYPEINFO1              , SYSTEM VIEW     , 
 _V_ODBC_GETTYPEINFO2              , SYSTEM VIEW     , 
 _V_ODBC_GETTYPEINFO3              , SYSTEM VIEW     , 
 _V_ODBC_PRIMARYKEYS1              , SYSTEM VIEW     , 
 _V_ODBC_PRIMARYKEYS2              , SYSTEM VIEW     , 
 _V_ODBC_PRIMARYKEYS3              , SYSTEM VIEW     , 
 _V_ODBC_PROCEDURECOLUMNS1         , SYSTEM VIEW     , 
 _V_ODBC_PROCEDURECOLUMNS2         , SYSTEM VIEW     , 
 _V_ODBC_PROCEDURECOLUMNS3         , SYSTEM VIEW     , 
 _V_ODBC_PROCEDURES1               , SYSTEM VIEW     , 
 _V_ODBC_PROCEDURES2               , SYSTEM VIEW     , 
